Exhibitor Name;Exhibitor blurb;Website;Facebook;Twitter;Instagram;Photo filename
Deep Woods;"Deep Woods Estate is a boutique winery located on Commonage Road, Yallingup in the northern corner of the premium wine-growing region of Margaret River in Western Australia. The 32 hectare (80 acres) property is perched high on a ridge which unfolds into a picturesque secluded valley bounded by stands of jarrah and marri trees; hence the name Deep Woods. The estate comprises a modern 400 tonne capacity winery, vineyard, cellar door and homestead and with its large natural spring, dense woodlands and spectacular views is surely one of the region's most scenic wineries.

In 2005, Deep Woods was acquired by the Fogarty family and now forms part of the Fogarty Wine Group which also owns the iconic Lake's Folly vineyard in the Hunter Valley, New South Wales; Millbrook Winery in the Perth Hills, Western Australia; and Smithbrook Wines in Pemberton, Western Australia.

The team at Deep Woods is passionately focused on producing quality wines from their management of the vineyard to fruit selection and winemaking techniques, and consistently produces award-winning Cabernet Sauvignon, Cabernet Merlot, Shiraz, Chardonnay, and Sauvignon Blanc primarily from estate-grown fruit.";http://www.deepwoods.com.au;https://www.facebook.com/DeepwoodsEstate;https://twitter.com/Deepwoodswinery;http://instagram.com/deepwoodsestate;
Milbrook;Millbrook Vineyards & Winery , the premiere wine estate in New York's Hudson Valley, was the first in the region dedicated exclusively to the production of vinifera grapes. Millbrook is owned and operated by Pebble Ridge Vineyards & Wine Estates, a wine group created by John and Kathe Dyson, devoted to producing the very finest wines of their particular growing regions. Millbrook Vineyards & Winery began as a 130-acre coverted dairy farm with his winemaking partner, John Graziano in 1985. Today, the Millbrook estate bottled wine roster includes Tocai Friulano, Chardonnay, Pinot Noir and Cabernet Franc. The winery produces over 12,000 cases of wine annually and is open for guided tours and wine tastings year round.;http://www.millbrookwine.com;https://www.facebook.com/Millbrook.Vineyards.Winery;https://twitter.com/millbrookwinery;http://instagram.com/millbrookwinery;
Smithbrook Wines;"Smithbrook is a boutique winery situated on one of the states most picturesque sites in Pemberton, Western Australia surrounded by spectacular towering Karri trees. The property is a 3 hour drive south of Perth and 90 minutes south of Margaret River. One of an exciting group of emerging wine regions in the South West, Pemberton is gaining prominence through its evolution as an exceptional, maritime climate grape growing area.

Underlying the southern corner of Western Australia is a huge mass of granite rock called the Yilgarn craton. The Yilgarn craton is recognised as the oldest rock formation on earth dating back more than 3 billion years. The gravelly ironstone soils that have formed on the higher ground above the craton are found throughout Pemberton and the Smithbrook vineyard.

With a 'tall tree' nature reserve next door, Smithbrook focuses closely on the environment and incorporates minimal spray and free roaming Guinea fowl to control insects and pests. Smithbrook wines capture the essence of what this beautiful region has to offer without interfering with the spectacular and picturesque natural environment that surrounds the vineyard.";http://www.smithbrookwines.com.au/;;;;
Topper's Mountain Wines;Growing good grapes, making good wine,driving Sydney-Tingha a lot & enjoying good wine & food with family & friends. We're in the GI of New England, Australia at 900m asl on the western edge of the Great Dividing Range in northern NSW near the little village of Tingha. We have one of the very few vineyards in Australia with deep terra rossa profondo soils at high altitude. We specialise in mostly Mediterranean alternative varieties. We make small batch, distinctive wines with a focus on being food-friendly & reflecting their unusual terroir.;http://www.toppers.com.au;https://www.facebook.com/ToppersMountain;https://twitter.com/ToppersMtnWines;;
Mount Majura Vineyard;"Located between the Canberra Airport and the Federal Highway, on Majura Road, Mount Majura Vineyard is your must stop Vineyard destination in the Nations Capital. Check out our Notes section for information on group bookings. Mount Majura Vineyard produces single Vineyard wines from our vineyard in Canberra. We are located just 15minutes from the CBD, and conduct seated wine tastings in our Cellar Door. We are more than happy to organise group events for you. Please see our Notes section for more information on group tastings options.

At the Cellar Door we run regular events, see our events page for upcoming events.";http://www.mountmajura.com.au;https://www.facebook.com/MountMajuraVineyard;https://twitter.com/MountMajuraWine;http://instagram.com/MountMajuraWine;
Eden Road Wines;"Eden Road is our Journey as a winemaking team to create a unique style of wines from our high country, cool climate vineyards of Australia. We are located in Murrumbateman and surrounded by Tumbarumba, the Hilltops and Gundagai. These four regions represent a rich pioneering viticultural history and are now producing some of the most exciting contemporary wines in Australia. Our desire, capability and energy are channeled into every aspect of the winemaking process from the selection and management of vineyards through to the attention to detail we devote to winemaking: this is our Road to Eden. With a state of the art winery in Murrumbateman and surrounded by the cool high country vineyards of Tumbarumba, Gundagai and the Hilltops we are in the perfect position to create outstanding wines. As winemakers we see our role as a caretaker, a crafter, not forcing the wine into a formula but rather working with its origins and seasonal conditions to reflect bright and defined varietal characteristics. 

We care for every aspect of the wine making process. Our success lies in the attention to detail and our investment in a modern technologically advanced facility that affords us total control. That care starts with the careful selection of vineyards that we are confident will deliver the quality of fruit we desire.The handling of that fruit and wine, blending through our gravity fed winery. To the selection of barrels and storage in our temperature controlled room. The final bottling on our new bottling line; every moment of the process is important to us 'getting it right'. It may sound ‘idealistic’, but for us it is the only way!";http://www.edenroadwines.com.au;https://www.facebook.com/EdenRoadWines;https://twitter.com/edenroadwines;http://instagram.com/edenroadwines;
Salumi Australia;"Salumi is an Australian owned and operated artisan smallgoods manufacturing business. Salumi Australia aims at building long term relationship with suppliers and customers alike, gaining their loyalty and respect by providing then with real value and quality for their investment in our products. Supported by a team of skilled personnel Salumi brings to the Australian market a product and service that continually satisfies customer needs and expectations. Out team focuses on quality, safety and continuous improvement which is the key to successful management for its people, processes and products. SALUMI - Meaning smallgoods in Italian

Salumi Australia believes in never cutting corners to bring to the market place an impressive range of premium Australian produced smallgoods.

Fine quality Italian smallgoods are on offer at Salumi Australia, founded by Sardinian born Massimiliano Scalas. Though Australian owned and operated, the skills and time honoured methods and recipes from well-known Italian regions are behind the continental authenticity of each product.
The Salumi range is entirely artisanal with every product handmade and with no flavourings or other unnecessary additives and is gluten and dairy free. The quality of the meats used provides the best foundation there is. Premium quality, locally-sourced ingredients are favoured to deliver freshness, top standards and genuine pride in the product. 100% local Australian pork originating from growers such as Bangalow Sweet Pork Co and Byron Bay Pork Co. The maturation process uses age old techniques to arrive at the unique texture and flavour found in European smallgoods. Quality spices, natural casings, the use of a larger animal and traditional manufacturing methods are all behind the Salumi supremely flavoursome product. Allowing the products to mature under the right conditions is the key to producing what Salumi calls “The New Old Flavour”.
The Salumi Australia range will appeal to Europeans looking for a taste of home, as well as discerning Australian lovers of quality pork and beef products.
Salumi Australia utilises environmentally friendly, state of the art technology and premium quality locally sourced ingredients. The company aims to build long term relationships with suppliers and customers alike .";http://www.salumi.com.au;https://www.facebook.com/SalumiAustralia;https://twitter.com/salumiaustralia;http://instagram.com/salumiaustralia;
HelloFresh;We provide you with delicious, healthy recipes each week AND deliver all the ingredients you need, straight to your door. HelloFresh is a new way to cook. Every week we'll send you amazing recipes and all the fresh ingredients you need to prepare them. We take care of your meal planning and even do the shopping for you. It's a revolution in your kitchen!;http://www.hellofresh.com.au;https://www.facebook.com/HelloFreshAU;https://twitter.com/hellofreshau;http://instagram.com/hellofreshau;
Brilliant Food;"We use the finest Australian Seafood and the best smoking methods to create the most brilliant food you will ever taste. Brilliant Food is an Australian company sourcing Australian seafood to make our delicious smoked products. Years of practice and a love of good ingredients have come together to allow us to make some of Australia's finest smoked seafood products. 
A range of products are available, from our popular Smoked Ocean Trout, Wood Smoked Salmon, Ocean Trout Gravlax, Smoked Kingfish, seafood dips to our accompliments of Wasabi Cream and Tuscan Pickled Red Onions.
As reported in Good Living;” Colin’s recipes hit a happy combination of sweet, savoury, and sour that totally tickles your tastebuds.” Helen Greenwood August 2008";http://https//.www.brilliantfood.com.au;https://www.facebook.com/brilliantfood;https://twitter.com/LeisaColin;;
Butler & Bentley;At Butler & Bentley - Online Artisan Grocer - We pride ourselves on sourcing the highest quality fresh produce from the city's top suppliers. From artisan breads and restaurant-quality meats to award-winning wines, fresh seafood and more, we've made it our mission to ensure Sydney's finest goods are just a click away and delivered straight to your door. Our aim is to make shopping as convenient as possible while maintaining the highest quality.;http://www.butlerandbentley.com.au;https://www.facebook.com/butlerandbentley;https://twitter.com/butlerbentley;http://instagram.com/butlerandbentley;
Nougat Limar;"Nougat Limar is an australian based company and started out as a hobby in 2000 that grew into a home business that produced nougat especially for ""Bon Bon Fine Chocolates"" in the Queen Victoria Building.

In November 2001, this nougat was vowed to be ""the best nougat in Australia"" by the well known food critic for the Sydney Morning Herald, John Newton.
Since then, the rising interest in our product has led to the expansion of our manufacturing facilities and is now relocated in a brand new ultra modern plant situated on the Central Coast covering over 2000 squared meters and a wider distribution of the product, being sold internationally.

Nougat Limar is a creamy soft nougat and has a mouth-feel and texture that is typically French-style.
It is not too sweet and not too chewy, yet is a tender sweet that melts in your mouth.


The nougat is manufactured using the traditional method of pouring the hot syrup into the frappe' and finally adding the last ingredients and of course, Nougat Limar's exclusive vanilla essence that is imported and especially made for our product.
The shelf life of packaged product is 12 months when the product is stored in cool dry conditions and out of sunlight.

The creamy soft French - style Nougat Limar is usually sold through* cafe's, department stores, delicatessen's and many gourmet retail outlets and most popular at airports and airlines, cruise ships, 1st class rail, hotels.";http://www.nougatlimar.com.au;https://www.facebook.com/pages/Nougat-Limar-Australia/246238882064032;https://twitter.com/nougatlimar;http://instagram.com/nougatlimar;
Bryon Bay Chocolate Company;HACCP approved and organic certified, the business produces milk, dark and white chocolate coatings for a variety of products including macadamias, coffee;http://www.byronbaychocolateco.com.au;https://www.facebook.com/pages/Byron-Bay-Chocolate-Company/1473881282833561;;;
Salt, Meats, Cheese;"Quality, Quality, Quality...
...with an eye on price.'
All our products are sourced from and manufactured in Italy: 'We know where we come from!'
'We want to offer to the Food Service Industry the same quality, trust, and detail previously found in the traditional gourmet deli on your block.'
Additionally, you can find our products on the shelves of supermarkets, delis, and small shops. Our beautifully elegant, traditional Italian labels sit in classy restaurant displays as well as on the domestic kitchen bench. Customers will remember the striking Circus motifs on each product and quickly start asking for Casa Gusto by name.
Our labels are informative and easy to read with large fonts. They are also colourful, with each product clearly designed with its own colour scheme, design and motif, making them instantly recognisable in a coolroom or warehouse aisle.";http://www.saltmeatscheese.com.au;https://www.facebook.com/SaltMeatsCheese;https://twitter.com/SaltMeatsCheese;http://instagram.com/SaltMeatsCheese;
Peterson House;Peterson House is located at the gateway to the Hunter Valley Vineyards, and encompasses an unforgettable cellar door and award winning Restaurant Cuvee.;http://www.petersonhouse.com.au;https://www.facebook.com/PetersonHouseltd;https://twitter.com/petersonhouse1;http://instagram.com/petersonhouse;
Twisted River Wines;Twisted River Wines is a boutique vineyard located on the Henry Parkes Way, 14kms west of Manildra halfway between Orange and Parkes. It is nestled on the edge of Goobang National Park, where coastal and western plant species overlap. Twisted River Wines focuses on producing low yielding, high quality grapes. The diverse geology of the area provides ideal soil for our grapes in which to grow. Twisted Rivers high elevation, cool climate wines are medium bodied. The fruit flavours are more forward, which makes Twisted River wines crisp, bright and vibrant.;http://twistedriverwines.com.au/;;;;
Savannah Estate;"Savannah Estate Wines are produced from small select parcels of premium fruit grown in renowned viticulture regions throughout Australia. We hand select varietals from Australia's most unique regions and produce wines that best reflect their unique regionality and character.

Savannah Estate lies on the beautiful gateway to Mount View, which boasts some of the most stunning views of the whole Hunter Valley.

Take the time to come and visit us at Savannah Estate, and the friendly staff will gladly guide you through a tasting of our wide range of luscious wines.

Savannah is the youngest granddaughter of the renowned Petersons Family, and we hope that she will continue this passion that has become part of our heritage.";http://www.savannahestate.com.au;https://www.facebook.com/pages/Savannah-Estate-Winery/152318481496898;;;
Mistletoe Winery;"Mistletoe is a small family owned vineyard and winery that was established by the current owners in 1989.

Now in its 25th year, Mistletoe is located in the beautiful Hermitage Road area of Pokolbin not far from the end of the newly completed ( opened on  March 22nd. 2014) Hunter Expressway.

From vineyard to bottle,Mistletoe’s  “ no compromise” approach, to producing “ true to origin” premium quality wines, has seen it receive many,many, hundreds of awards and accolades.

Mistletoe has been rated  a 5 star winery   in the  2007  to 2014  editions of James Halliday’s Australian Wine Companion.";http://www.mistletoewines.com.au;https://www.facebook.com/mistletoewinery;https://twitter.com/mistletoewines;;
Hunter Valley Cheese Factory;Spreading the love of all things cheese and keeping cheese lovers up to date on offsite tastings, news, new releases and info;http://www.huntervalleycheese.com.au;https://www.facebook.com/pages/The-Hunter-Valley-Cheese-Factory-Co-PL/173642999385593;https://twitter.com/huntervalleycheese;http://instagram.com/huntervalleycheese;
Ross Hill;"Passion, Care, Knowledge and Love...
a perfect blend that makes excellent wines.

The Ross Hill Vineyard is a family run and sustainable operation established in 1994 by Peter and Terri Robson, with son James and his wife Chrissy now taking over the reins. The vineyard is planted in mature basalt soils, at a high altitude that carries through into the iconic wine range of whites including Chardonnay, Pinot Gris and Sauvignon Blanc, and the BIG red styles of Pinot Noir, Shiraz, Cabernet Franc and Cabernet Sauvignon.

Enjoy a trip in the country, drive down Wallace Lane and visit Ross Hill Wines’ new modern Winery facility and Cellar Door located in a converted old apple packing shed. Here you’ll often find winemakers Phil & Rochelle Kerney hard at work and meet James Robson, who will take you on the Ross Hill journey.";http://www.rosshillwines.com.au;https://www.facebook.com/pages/Ross-Hill-Wines/122092254508741;https://twitter.com/rosshillwines;http://instagram.com/rosshillwines;
Pepper Tree Wines;Handcrafting wines since 1991, Pepper Tree produces wines of purity, elegance and distinction. Nestled in the heart of the Hunter Valley, Pepper Tree offers a unique and relaxed wine experience set amongst the spectacular gardens that surround the property. Continuing to receive high accolades and 5 star ratings for our premium wines, we must also pay credit to our own extensive carefully selected vineyards located in four of Australia's best wine growing areas. Pepper Tree Wines provides a great atmosphere for discovery! ;http://www.peppertreewines.com.au;https://www.facebook.com/pages/Pepper-Tree-Wines/250050115869;https://twitter.com/peppertreewine;http://instagram.com/peppertreewines;
Allandale Winery;"Established in 1978, Allandale Winery produces multi-award winning wines which are known for their full flavour, excellent structure and distinctive varietal characters. The winery and cellar door were built on a hill overlooking the vineyard stretching down to the creek and boasts panoramic views over the Hunter Valley to Brokenback mountain range in New South Wales, Australia. 
Allandale wines are a worthy addition to any table around the world.";http://www.allandalewinery.com.au;https://www.facebook.com/pages/Allandale-Winery/150343985012416;https://twitter.com/AllandaleWinery;;
Philip Shaw;Cool climate wines of elegance - Visit our website www.philipshaw.com.au to purchase our wines or to learn more about Philip, the wine and the region. To produce elegant wines with high quality fruit, a balance of characteristics and purity. Founded by Philip and Diana Shaw, Philip Shaw Wines is a family operated company committed to producing elegant cool climate wines, portraying both the environment in which they were created and the winemakers experience.;http://www.philipshaw.com.au;https://www.facebook.com/philipshawwines;https://twitter.com/philipshawwines;http://instagram.com/;
Tulloch Wines;Nestled among vines at the foot of the Brokenback Mountain Range is the stunning Tulloch Cellar Door and Function Venue, a must visit destination in the Hunter Valley. All the wines from the Tulloch range are available for tasting and sales at our cellar door, including our famous Verdelho and our exclusive Cellar Door Only and Limited Release ranges of wines.;http://www.tullochwines.com;https://www.facebook.com/tulloch.wines;https://twitter.com/TullochWines;http://instagram.com/TullochWines;
Petersons Wines;Producer of soulful Dry Creek Valley wines, following a Zero Manipulation philosophy. Varietals include Zinfandel, Sangiovese, Syrah, Sauvignon Blanc.;http://petersonwinery.com;https://www.facebook.com/petersons.wines.1;https://twitter.com/petersonwinery;;
Bantry Grove Orange;"Bantry Grove Wines produce beautiful cool climate handcrafted wines from the region of Orange. At 960 metres above sea level in the Orange region, Bantry Grove is a family-owned vineyard that produces elegant, hand crafted cool climate wines.

Our award winning vineyard offers a variety of complex wines carefully nurtured by grower Terrey Johnson.

Our varieties were carefully selected for their suitability to the regions rich soils, plentiful rainfall, tempered sunshine and renowned cool climate. This unique combination allows the vines to form grapes unhurried by time and ripened to perfection. ";http://www.bantrygrove.com.au;https://www.facebook.com/pages/Bantry-Grove-Wines/506649539360341;;;
Artemis Wines;"Artemis wines are hand crafted from grapes grown on low yielding vines, from the cool-cliimate Southern Highlands region of NSW, Australia. Artemis wines are hand crafted from grapes grown on low yielding vines, from the cool-cliimate Southern Highlands region of NSW, Australia. 
The Artemis winemaking philosophy draws on the natural elements by using a blend of old world and new world winemaking techniques, to provide wines with intense Australian fruit aroma, complexity and fine palate structure.";http://www.artemiswines.com.au;https://www.facebook.com/pages/Artemis-Wines/258312630952341;https://twitter.com/artemiswines;http://instagram.com/artemiswines;
McWilliam's Mount Pleasant;"Custodians of Hunter Valley legacies, vineyards and wine styles. A proud part of the McWilliam's Wines family. It was by the light of a gas lantern, the story of Mount Pleasant was created. It was 1921 and Maurice O’Shea wasn’t afforded the luxury of electricity. Equipped only with the basic tools of a petrol driven crusher, hand pumps, an old basket press and a concrete tank, O’Shea brought Mount Pleasant to life.

More than 90 years on, the equipment and names have evolved, but the principles and the vineyards remain the same. As does Mount Pleasant’s philosophy of honouring O’Shea’s legacy through individual wines, special sites and celebrated styles.

Our Facebook page is a place to enjoy the Mount Pleasant experience. Some posts or content may not be cool to share here, so here are some guidelines to make sure we all have a good time. 

We will remove posts, videos or images that: 
- Are rude or offensive
- Promote underage drinking
- Promote excessive drinking
- Hassle any person or group
- Look like spam or advertising

Individuals who do not adhere to our Facebook page policies may also be blocked from the page.

Mount Pleasant Promotes Responsible Drinking";http://www.mountpleasantwines.com.au;https://www.facebook.com/mtpleasantwines;https://twitter.com/MtPleasantWines;http://instagram.com/MtPleasantWines;
McWilliam's Wines;Six generations and 135 years of award winning winemaking. Proud member of Australia's First Families of Wine.;http://mcwilliams.com.au;;https://twitter.com/McWilliamsWines;http://instagram.com/McWilliamsWines;
RidgeView Wines;Award Winning Boutique Hunter Valley Wines - Restaurant & Cafe - Luxurious Self Contained Cottages;http://www.ridgeview.com.au;https://www.facebook.com/RidgeView.Hunter;;;
